Team1,Team1Score,Team2,Team2Score
Golden State Warriors,123,Utah Jazz,116
Miami Heat,113,Sacramento Kings,115
Phoenix Suns,133,Charlotte Hornets,99
Dallas Mavericks,95,Oklahoma City Thunder,86
Memphis Grizzlies,118,Brooklyn Nets,104
Miami Heat,108,Golden State Warriors,115
Memphis Grizzlies,110,Cleveland Cavaliers,106
Phoenix Suns,123,New Orleans Pelicans,110
Philadelphia 76ers,116,Orlando Magic,106
Golden State Warriors,82,Dallas Mavericks,99
Miami Heat,115,Portland Trail Blazers,109
Boston Celtics,105,New York Knicks,108
Golden State Warriors,96,New Orleans Pelicans,101
Milwaukee Bucks,121,Brooklyn Nets,109
Dallas Mavericks,130,Houston Rockets,106
Memphis Grizzlies,123,Los Angeles Clippers,108
Milwaukee Bucks,106,Charlotte Hornets,114
Miami Heat,123,Phoenix Suns,100
Memphis Grizzlies,127,Los Angeles Lakers,119
Milwaukee Bucks,99,Charlotte Hornets,103
Philadelphia 76ers,111,Houston Rockets,91
Phoenix Suns,99,Toronto Raptors,95
Golden State Warriors,108,Memphis Grizzlies,116
Boston Celtics,119,Indiana Pacers,100
Miami Heat,115,Atlanta Hawks,91
Dallas Mavericks,85,New York Knicks,108
Golden State Warriors,99,Milwaukee Bucks,118
Phoenix Suns,112,Indiana Pacers,94
Boston Celtics,99,Philadelphia 76ers,111
Golden State Warriors,138,Chicago Bulls,96
Dallas Mavericks,112,Memphis Grizzlies,85
Philadelphia 76ers,109,Miami Heat,98
Phoenix Suns,135,Detroit Pistons,108
Golden State Warriors,99,Minnesota Timberwolves,119
Philadelphia 76ers,98,Washington Wizards,117
Milwaukee Bucks,114,Atlanta Hawks,121
Phoenix Suns,121,San Antonio Spurs,107
Memphis Grizzlies,114,Milwaukee Bucks,126
Phoenix Suns,109,Dallas Mavericks,101
Miami Heat,108,Atlanta Hawks,110
Memphis Grizzlies,122,Denver Nuggets,118
Boston Celtics,116,Washington Wizards,87
Philadelphia 76ers,115,San Antonio Spurs,109
Memphis Grizzlies,91,Dallas Mavericks,104
Dallas Mavericks,92,Golden State Warriors,130
Milwaukee Bucks,99,Cleveland Cavaliers,115
Memphis Grizzlies,118,San Antonio Spurs,110
Dallas Mavericks,132,Portland Trail Blazers,112
Phoenix Suns,105,Utah Jazz,97
Boston Celtics,92,Atlanta Hawks,108
Boston Celtics,107,New Orleans Pelicans,97
Dallas Mavericks,108,Orlando Magic,110
Memphis Grizzlies,119,Philadelphia 76ers,122
Miami Heat,92,Boston Celtics,122
Golden State Warriors,122,Houston Rockets,108
Miami Heat,106,Toronto Raptors,110
Golden State Warriors,124,San Antonio Spurs,120
Memphis Grizzlies,120,New York Knicks,108
Miami Heat,112,San Antonio Spurs,95
Phoenix Suns,115,Atlanta Hawks,124
Boston Celtics,102,Detroit Pistons,93
Philadelphia 76ers,98,Dallas Mavericks,107
Memphis Grizzlies,135,Orlando Magic,115
Miami Heat,104,Charlotte Hornets,86
Phoenix Suns,95,Washington Wizards,80
Milwaukee Bucks,137,Portland Trail Blazers,108
Philadelphia 76ers,119,Chicago Bulls,108
Boston Celtics,116,Orlando Magic,83
Milwaukee Bucks,137,Los Angeles Clippers,113
Miami Heat,121,Washington Wizards,100
Phoenix Suns,127,Chicago Bulls,124
Golden State Warriors,110,Oklahoma City Thunder,98
Phoenix Suns,114,Philadelphia 76ers,109
Boston Celtics,126,Brooklyn Nets,91
Milwaukee Bucks,131,Los Angeles Lakers,116
Golden State Warriors,85,Utah Jazz,111
Memphis Grizzlies,132,Detroit Pistons,107
Miami Heat,112,New Orleans Pelicans,97
Milwaukee Bucks,107,Phoenix Suns,131
Memphis Grizzlies,125,Charlotte Hornets,118
Golden State Warriors,104,Los Angeles Clippers,119
Dallas Mavericks,107,Miami Heat,99
Boston Celtics,135,Philadelphia 76ers,87
Memphis Grizzlies,121,New Orleans Pelicans,109
Miami Heat,111,Charlotte Hornets,107
Dallas Mavericks,125,New Orleans Pelicans,118
Philadelphia 76ers,123,Milwaukee Bucks,120
Boston Celtics,129,Brooklyn Nets,106
Memphis Grizzlies,114,Minnesota Timberwolves,119
Phoenix Suns,124,Oklahoma City Thunder,104
Golden State Warriors,132,Portland Trail Blazers,95
Miami Heat,115,New York Knicks,100
Philadelphia 76ers,133,Minnesota Timberwolves,102
Dallas Mavericks,109,Utah Jazz,114
Boston Celtics,113,Detroit Pistons,104
Memphis Grizzlies,116,Chicago Bulls,110
Philadelphia 76ers,125,New York Knicks,109
Boston Celtics,107,Indiana Pacers,128
Dallas Mavericks,107,Golden State Warriors,101
Golden State Warriors,114,Minnesota Timberwolves,129
Dallas Mavericks,109,Los Angeles Lakers,104
Miami Heat,119,Milwaukee Bucks,120
Memphis Grizzlies,107,Boston Celtics,120
Miami Heat,113,Brooklyn Nets,107
Golden State Warriors,113,Dallas Mavericks,122
Milwaukee Bucks,118,Chicago Bulls,112
Philadelphia 76ers,82,Miami Heat,99
Golden State Warriors,116,Los Angeles Lakers,124
Phoenix Suns,122,Milwaukee Bucks,132
Memphis Grizzlies,112,Houston Rockets,123
Golden State Warriors,124,Denver Nuggets,131
Phoenix Suns,102,Orlando Magic,99
Milwaukee Bucks,142,Oklahoma City Thunder,115
Boston Celtics,115,Charlotte Hornets,101
Phoenix Suns,111,Miami Heat,90
Golden State Warriors,113,Denver Nuggets,102
Dallas Mavericks,113,Houston Rockets,100
Milwaukee Bucks,109,Golden State Warriors,122
Dallas Mavericks,95,Boston Celtics,92
Philadelphia 76ers,116,Orlando Magic,114
Memphis Grizzlies,125,Oklahoma City Thunder,118
Milwaukee Bucks,117,Utah Jazz,111
Memphis Grizzlies,135,Indiana Pacers,102
Phoenix Suns,131,New Orleans Pelicans,115
Philadelphia 76ers,118,Cleveland Cavaliers,114
Dallas Mavericks,113,Brooklyn Nets,111
Phoenix Suns,129,Houston Rockets,112
Boston Celtics,110,Golden State Warriors,88
Milwaukee Bucks,135,Sacramento Kings,126
Dallas Mavericks,101,Philadelphia 76ers,111
Memphis Grizzlies,105,Atlanta Hawks,120
Boston Celtics,126,Sacramento Kings,97
Milwaukee Bucks,119,Minnesota Timberwolves,138
Dallas Mavericks,108,Charlotte Hornets,129
Memphis Grizzlies,122,Houston Rockets,98
Phoenix Suns,127,Sacramento Kings,124
Boston Celtics,124,Denver Nuggets,104
Miami Heat,106,Philadelphia 76ers,113
Boston Celtics,132,Oklahoma City Thunder,123
Golden State Warriors,90,Orlando Magic,94
Golden State Warriors,118,Miami Heat,104
Phoenix Suns,125,Minnesota Timberwolves,116
Philadelphia 76ers,126,Los Angeles Lakers,121
Phoenix Suns,140,Denver Nuggets,130
Golden State Warriors,110,Atlanta Hawks,121
Dallas Mavericks,95,Minnesota Timberwolves,116
Philadelphia 76ers,122,Los Angeles Clippers,97
Milwaukee Bucks,102,Memphis Grizzlies,127
Philadelphia 76ers,104,Phoenix Suns,114
Golden State Warriors,115,Washington Wizards,123
Boston Celtics,112,Toronto Raptors,115
Golden State Warriors,95,Memphis Grizzlies,123
Milwaukee Bucks,118,Philadelphia 76ers,116
Dallas Mavericks,120,Cleveland Cavaliers,112
Miami Heat,106,Boston Celtics,98
Memphis Grizzlies,112,San Antonio Spurs,111
Phoenix Suns,107,Golden State Warriors,103
Philadelphia 76ers,94,Detroit Pistons,102
Milwaukee Bucks,120,Brooklyn Nets,119
Dallas Mavericks,103,Washington Wizards,135
Phoenix Suns,114,Memphis Grizzlies,122
Miami Heat,127,Chicago Bulls,109
Dallas Mavericks,118,Milwaukee Bucks,112
Philadelphia 76ers,112,Cleveland Cavaliers,108
Phoenix Suns,96,Oklahoma City Thunder,117
Miami Heat,114,Toronto Raptors,109
Golden State Warriors,109,Sacramento Kings,90
Philadelphia 76ers,131,Indiana Pacers,122
