NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Tor,F,22.66,6,27.8,57.8,18.2,13.8,10,0.6,36,0.556,16,0.313,0.529,0.541,10.2,4.8,10.7,1,5.7,0.17,0.83,1.5,5.3,103.3,107.9
,Steven Adams,Mem,C,28.82,7,16.2,33.8,10.8,13.4,11,0.545,21,0.429,0,0,0.429,0.464,3.4,6.4,20.9,2.1,17.6,0.14,0.14,0.57,8.8,120.1,100.4
,Bam Adebayo,Mia,C-F,24.83,11,32.1,66.8,18.8,17.6,59,0.797,96,0.594,0,0,0.594,0.66,14.6,7.7,14.6,2.7,13,1.18,0.64,2.36,8.4,120.5,99.5
,Nickeil Alexander-Walker,Uta,G,23.7,1,4.7,9.8,24.4,0,1,1,2,1,0,0,1,1.025,5,1,12.4,1,70.1,1,0,0,14.6,214.3,100.3
,Grayson Allen,Mil,G,26.6,12,25.4,53,13.6,9.4,11,0.636,34,0.529,48,0.396,0.567,0.576,8.3,2.9,5.9,1.3,7.2,0.67,0.33,0.75,5,112,107.6
,Jose Alvarado,Nor,G,24.09,6,19.5,40.6,16.8,15.3,13,0.769,17,0.588,16,0.375,0.576,0.62,8,1.3,4,1.5,11.4,1.17,0.17,1.17,5.1,114.2,99.9
,Kyle Anderson,Mem,F-G,28.65,12,18.4,38.3,12.8,14.5,18,0.611,39,0.667,12,0.25,0.598,0.611,6,4.3,12.4,1.8,13.7,0.92,0.67,0.83,7.8,119.9,100.5
,Giannis Antetokounmpo,Mil,F,27.44,12,37.3,77.7,38.5,13.6,134,0.679,244,0.537,41,0.22,0.507,0.552,31.7,14.2,19.5,6.8,37,0.67,1.33,4.5,15.6,107.9,99.6
,Thanasis Antetokounmpo,Mil,F,29.83,8,2.6,5.3,9.2,0,3,0.333,3,0.667,0,0,0.667,0.579,0.6,0.5,10,0.1,7,0.13,0,0,4.8,,
,OG Anunoby,Tor,F,24.83,6,36.1,75.2,21.2,10.1,16,0.75,41,0.61,41,0.341,0.561,0.584,17.3,4,6.8,2.5,11.5,1,0.17,1.67,6.2,115.8,108.2
,Deandre Ayton,Pho,C,23.81,13,30.5,63.6,22.9,9.6,33,0.636,160,0.644,4,0.5,0.646,0.653,17.9,8.9,17.1,1.7,9.3,0.38,0.77,1.46,8.5,124.1,102.7
,Desmond Bane,Mem,G,23.89,12,35.6,74.2,18.3,8.4,35,0.857,71,0.465,88,0.489,0.613,0.645,18.8,3.7,5.4,2.3,9.7,1,0.67,1.33,6.1,125.4,109.6
,Dalano Banton,Tor,F,22.52,4,1.9,4,34.4,17.7,6,0.5,2,1,0,0,1,0.754,1.8,0.5,16.2,0.3,25.2,0.25,0,0.25,13.6,,
,Scottie Barnes,Tor,F,20.79,4,33.3,69.3,18.9,9.3,16,0.813,30,0.533,12,0.167,0.452,0.52,12.8,9,16.6,4.3,19.7,1,0.25,1.25,9.5,117.4,102.9
