NBA Stats 2021/22: BOSTON CELTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,"MIN
",USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST%,SPG,BPG,TOPGT.,VI,ORTG,DRTG
,Jayson Tatum,Bos,F-G,24.2,11,41.2,85.9,31.1,14,81,0.815,134,0.478,101,0.386,0.521,0.575,28.3,5.6,7.7,6.1,25.8,1.27,1,4,9.6,109.7,102.4
,Jaylen Brown,Bos,G-F,25.56,11,37.7,78.6,25.7,13,56,0.768,115,0.548,67,0.373,0.552,0.59,22.2,6.5,9.6,3.8,17.2,1.55,0.55,2.82,8.7,111,102.7
,Marcus Smart,Bos,G,28.2,10,36.6,76.2,19.8,14.8,29,0.793,60,0.483,65,0.354,0.508,0.544,15,3.7,5.7,6.2,25.8,1.1,0.4,2.4,7.7,111.5,102.9
,Al Horford,Bos,C-F,35.95,11,36.4,75.9,13.3,7.5,12,0.833,54,0.593,51,0.451,0.633,0.648,13,9.4,14.5,3.4,13.9,1.09,1.36,0.82,8.2,134.5,97.7
,Grant Williams,Bos,F,23.46,11,30.9,64.3,14.7,8.1,23,0.783,31,0.452,61,0.41,0.56,0.592,11,4.4,8,0.8,3.9,0.27,1.09,0.82,4.4,117.7,100.6
,Derrick White,Bos,G,27.87,11,23.8,49.5,15.1,9.1,21,0.857,34,0.471,37,0.243,0.415,0.48,7,4,9.5,2.4,14.1,0.82,0.27,0.73,6.8,106.7,101.5
,Robert Williams III,Bos,C-F,24.58,5,20.1,42,12.8,7,4,0.75,24,0.583,1,0,0.56,0.579,6.2,5,14,1.2,9,0.8,1.8,0.4,6.6,135.4,94.5
,Daniel Theis,Bos,F-C,30.11,10,13.4,27.9,16.9,15.8,6,0.833,28,0.714,12,0.167,0.575,0.598,5.1,3.6,15.1,0.6,7,0.4,0.5,0.8,6.6,113.5,91.3
,Payton Pritchard,Bos,G,24.3,11,12.6,26.2,15.5,4.2,0,0,15,0.667,31,0.355,0.576,0.576,4.8,2.1,9.3,1.7,21.2,0.18,0.09,0.18,8.2,129.6,103.4
,Malik Fitts,Bos,F,20,3,2,4.1,22.8,0,0,0,2,0.5,1,1,0.833,0.833,1.7,0.7,19.1,0,0,0,0,0,0,,
,Reggie Bullock,Dal,G-F,31.17,13,39.3,81.9,10.9,6,13,0.923,14,0.571,90,0.389,0.582,0.606,10.2,5.1,7.5,1.4,5.2,1.46,0.08,0.54,4.3,121.8,105.4
,Dorian Finney-Smith,Dal,F,29.03,13,37.8,78.8,12.8,7.6,16,0.875,32,0.5,83,0.422,0.596,0.619,11.6,5.4,8.3,2,8,1.15,0.38,0.77,5.3,127.2,104.7
,Luka Doncic,Dal,F-G,23.21,10,36.1,75.3,40.6,13,78,0.769,139,0.561,95,0.347,0.545,0.587,31.5,10.1,16.2,6.6,40,1.9,0.4,4,14.2,111.3,98
,Jalen Brunson,Dal,G,25.71,13,35.4,73.8,29.5,5.3,65,0.846,189,0.508,53,0.321,0.502,0.551,22.9,4.6,7.6,3.5,18.8,1,0,1.15,8.1,113.9,107.6
,Spencer Dinwiddie,Dal,G,29.11,13,28,58.3,23.6,10.6,41,0.78,78,0.397,65,0.4,0.49,0.534,13.2,2.8,5.9,3.5,20.8,0.92,0.23,1.46,7.2,109.4,104.1
,Maxi Kleber,Dal,F,30.29,13,25.4,53,14.2,10.1,20,0.7,21,0.714,59,0.492,0.731,0.738,10.1,4.5,10.2,1.1,6.7,0.15,0.69,0.77,5.8,134.6,102.7
,Dwight Powell,Dal,F-C,30.82,13,15.4,32,11.2,19.2,18,0.611,28,0.679,2,0,0.633,0.646,3.8,2.8,10.8,0.3,3,0.15,0.46,0.69,3.8,116.7,94
,Davis Bertans,Dal,F,29.51,13,11.2,23.3,14.3,4.6,11,0.818,0,0,37,0.432,0.649,0.681,4.4,1.2,6.4,0.3,4.2,0.31,0.15,0.15,4.2,133.2,98.6
,Frank Ntilikina,Dal,G,23.8,7,10.8,22.4,11.6,38,1,1,2,0.5,9,0.333,0.5,0.524,1.7,1,5.4,0.9,11.2,0.86,0.14,1,4.3,79.3,91.8
,Josh Green,Dal,G,21.49,12,8.6,18,12.6,0,8,0.25,4,0.5,20,0.25,0.396,0.382,1.8,0.8,5.6,0.6,9.7,0.42,0,0,4.4,93.2,96.8
,Klay Thompson,Gol,G,32.27,11,35,73,23.7,8.4,13,0.769,87,0.506,103,0.408,0.563,0.572,20.4,4.5,7,2,8.8,1.18,0.91,1.64,6.5,105.5,106.1
,Stephen Curry,Gol,G,34.17,11,33.1,69,32.4,10.5,76,0.816,96,0.563,117,0.359,0.549,0.601,26.9,4.2,6.9,5.6,27.9,1.09,0.45,2.64,10.4,117.2,105.4
,Andrew Wiggins,Gol,F,27.23,11,31.6,65.9,19.1,9.6,33,0.606,86,0.535,40,0.4,0.556,0.569,14.5,6.9,12,1.2,5.4,0.91,1.09,1.36,6.2,112.3,104
,Jordan Poole,Gol,G,22.91,11,31,64.5,24.8,15.7,42,0.881,79,0.595,69,0.391,0.591,0.637,19.3,3.4,6,4.8,23.7,0.73,0.55,2.82,8.8,116.8,104.5
,Draymond Green,Gol,F,32.2,11,30.4,63.3,13.6,30.1,21,0.667,48,0.625,17,0.235,0.554,0.579,7.8,7.2,13,6.6,28.3,1,1.18,2.91,9.5,108.8,95.9
,Otto Porter Jr.,Gol,F,28.95,10,21.5,44.9,11.5,15.6,4,0.75,18,0.5,29,0.31,0.479,0.492,4.8,3.9,10,2.3,13.5,0.9,0.4,0.9,6.5,107.1,98.6
,Kevon Looney,Gol,F,26.27,11,16.2,33.7,10,14.5,8,0.5,32,0.625,0,0,0.625,0.619,4,6.4,21.6,1.5,12.6,0.36,0.18,0.55,8.3,137.9,92.7
,Gary Payton II,Gol,G,29.45,7,15.8,33,11.4,13.6,8,0.625,14,0.714,8,0.75,0.864,0.842,6.1,3,10.4,1.3,11.1,0.86,0.71,0.57,7.3,154.3,101.6
,Andre Iguodala,Gol,G-F,38.3,3,14.1,29.4,9.4,32.2,3,0.667,3,0.333,2,0,0.2,0.316,1.3,2.3,9.1,2.3,19.5,0,0.67,1,5.4,94.3,94.2
,Jonathan Kuminga,Gol,F,19.61,9,11.3,23.5,25.3,15,16,0.75,34,0.676,10,0.2,0.591,0.627,7.1,1.9,9.2,0.7,9.4,0.22,0.22,1,7.5,109.3,104.6
,Damion Lee,Gol,G-F,29.57,8,10.2,21.3,13.8,15.2,3,0.667,13,0.462,8,0.375,0.5,0.515,2.9,1.9,10.1,0.6,8,0.13,0,0.5,5.8,100.1,106.5
,Jimmy Butler,Mia,F,32.67,10,37.4,78,29.7,6.4,78,0.808,154,0.571,44,0.364,0.566,0.618,28.7,7.5,12.2,5.4,26.8,2.1,0.6,1.6,11.2,128.2,107
,Bam Adebayo,Mia,C-F,24.83,11,32.1,66.8,18.8,17.6,59,0.797,96,0.594,0,0,0.594,0.66,14.6,7.7,14.6,2.7,13,1.18,0.64,2.36,8.4,120.5,99.5
,Max Strus,Mia,G-F,26.13,11,29.8,62.1,18.2,8.3,14,0.643,22,0.682,94,0.351,0.556,0.565,12.5,4.5,9.1,2.2,10.9,0.91,0.36,1,6.7,113.7,102.4
,P.J. Tucker,Mia,F,37.03,11,29.4,61.3,10.8,7.7,4,1,39,0.615,31,0.484,0.664,0.676,8.8,5.6,11.6,2,9.8,0.55,0.27,0.55,6.3,141.1,102
,Kyle Lowry,Mia,G,36.14,5,28.9,60.1,14.6,16.9,5,0.8,13,0.462,24,0.208,0.365,0.395,6.2,3.6,7.6,5.2,24.3,1,0.6,1.6,6.8,95,104
,Tyler Herro,Mia,G,22.32,11,27.6,57.4,25,12.4,23,0.913,83,0.518,55,0.273,0.475,0.513,13.8,4.2,9.2,2.9,16.9,0.73,0.36,1.91,8,100.2,106.2
,Victor Oladipo,Mia,G,30.03,8,25.7,53.5,21.7,15.1,24,0.833,41,0.537,33,0.273,0.48,0.538,11.4,3.8,8.9,2.4,13.9,1.13,0.38,1.88,7.3,101.5,100.2
,Gabe Vincent,Mia,G,25.92,11,23.9,49.8,16.8,15.2,11,0.909,32,0.531,47,0.277,0.462,0.495,7.5,2.4,6,3.5,20.6,0.91,0.09,1.36,6.7,103,102.3
,Caleb Martin,Mia,F,26.63,11,10.6,22,19.6,11.8,4,0.25,25,0.44,18,0.167,0.36,0.357,2.9,1.5,8.4,0.3,3.7,0.82,0.18,0.55,4.1,73.7,100.5
,Duncan Robinson,Mia,F,28.07,8,10.5,21.9,15.8,10.1,6,0.833,1,1,23,0.478,0.729,0.751,5,1.1,6.5,0.1,1.8,0,0,0.38,3.1,127.8,100.1
,Dewayne Dedmon,Mia,C,32.76,10,9.9,20.7,20,11.3,10,0.8,27,0.556,8,0,0.429,0.482,3.8,3.3,20.2,0.4,6.1,0.1,0.2,0.5,6.9,106.7,82.4
,Tyrese Maxey,Phi,G,21.53,12,40.4,84.2,21.8,9.3,50,0.94,113,0.549,69,0.377,0.555,0.61,20.8,3.5,5.3,3.9,17,0.75,0.17,1.75,6.5,118.8,112
,James Harden,Phi,G,32.72,12,39.9,83.1,23.7,20.7,75,0.893,82,0.439,76,0.368,0.494,0.584,18.6,5.7,8.7,8.6,34.8,0.75,0.75,4.17,9.7,111.4,109.4
,Tobias Harris,Phi,F,29.83,12,38.8,80.9,19.1,9.5,22,0.864,105,0.562,57,0.386,0.568,0.591,16.9,7.6,12,2.9,13,1.08,0.83,1.5,7.4,113.9,105.5
,Joel Embiid,Phi,C-F,28.17,10,38.5,80.3,28.3,13.8,89,0.82,128,0.555,33,0.212,0.506,0.59,23.6,10.7,17,2.1,9.9,0.4,0.8,3.2,8.4,110,103.7
,Danny Green,Phi,G,34.9,12,26.6,55.5,15.1,12.7,1,0,13,0.385,76,0.408,0.579,0.576,8.6,3.1,7.1,0.8,4.9,0.92,0.33,1.08,4.2,103.9,108.1
,Georges Niang,Phi,F,28.91,12,16.5,34.4,13.3,12.5,2,1,5,0.8,43,0.372,0.583,0.593,4.8,1.5,5.6,0.9,8.5,0.25,0,0.58,4.5,110.9,100.9
,Matisse Thybulle,Phi,G-F,25.2,9,15.2,31.7,9.4,7.3,3,0.333,10,0.7,14,0.286,0.542,0.533,3,1,4,0.4,4.4,0.78,0.78,0.22,2.8,106.4,103.8
,Shake Milton,Phi,G-F,25.63,12,13.2,27.5,15.4,9.7,20,0.8,23,0.435,15,0.533,0.579,0.641,5,1.6,7.3,0.9,10.9,0.5,0.25,0.42,5.9,126.9,106.5
,Paul Reed,Phi,F,22.92,12,11.6,24.2,16.2,18.7,7,0.571,33,0.515,3,0.667,0.556,0.563,3.7,3.9,20.6,0.8,11.6,0.75,0.5,0.75,7.8,118.7,88.3
,Furkan Korkmaz,Phi,G-F,24.81,9,6.8,14.2,19.8,7.7,2,1,13,0.538,10,0.4,0.565,0.586,3.1,1.3,11.9,0.4,11.3,0.11,0.11,0.22,6.9,113.1,101.8
,Ja Morant,Mem,G,22.77,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
,Desmond Bane,Mem,G,23.89,12,35.6,74.2,18.3,8.4,35,0.857,71,0.465,88,0.489,0.613,0.645,18.8,3.7,5.4,2.3,9.7,1,0.67,1.33,6.1,125.4,109.6
,Dillon Brooks,Mem,G-F,26.31,11,30.5,63.5,25.1,10.7,25,0.64,100,0.35,72,0.347,0.422,0.44,14.6,2.7,4.7,2.7,13.8,1,0.27,2,6.2,91.3,104.2
