FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Klay Thompson,Gol,G,32.27,11,35,73,23.7,8.4,13,0.769,87,0.506,103,0.408,0.563,0.572,20.4,4.5,7,2,8.8,1.18,0.91,1.64,6.5,105.5,106.1
Stephen Curry,Gol,G,34.17,11,33.1,69,32.4,10.5,76,0.816,96,0.563,117,0.359,0.549,0.601,26.9,4.2,6.9,5.6,27.9,1.09,0.45,2.64,10.4,117.2,105.4
Andrew Wiggins,Gol,F,27.23,11,31.6,65.9,19.1,9.6,33,0.606,86,0.535,40,0.4,0.556,0.569,14.5,6.9,12,1.2,5.4,0.91,1.09,1.36,6.2,112.3,104
Jordan Poole,Gol,G,22.91,11,31,64.5,24.8,15.7,42,0.881,79,0.595,69,0.391,0.591,0.637,19.3,3.4,6,4.8,23.7,0.73,0.55,2.82,8.8,116.8,104.5
Draymond Green,Gol,F,32.2,11,30.4,63.3,13.6,30.1,21,0.667,48,0.625,17,0.235,0.554,0.579,7.8,7.2,13,6.6,28.3,1,1.18,2.91,9.5,108.8,95.9
Otto Porter Jr.,Gol,F,28.95,10,21.5,44.9,11.5,15.6,4,0.75,18,0.5,29,0.31,0.479,0.492,4.8,3.9,10,2.3,13.5,0.9,0.4,0.9,6.5,107.1,98.6
Kevon Looney,Gol,F,26.27,11,16.2,33.7,10,14.5,8,0.5,32,0.625,0,0,0.625,0.619,4,6.4,21.6,1.5,12.6,0.36,0.18,0.55,8.3,137.9,92.7
Gary Payton II,Gol,G,29.45,7,15.8,33,11.4,13.6,8,0.625,14,0.714,8,0.75,0.864,0.842,6.1,3,10.4,1.3,11.1,0.86,0.71,0.57,7.3,154.3,101.6
Andre Iguodala,Gol,G-F,38.3,3,14.1,29.4,9.4,32.2,3,0.667,3,0.333,2,0,0.2,0.316,1.3,2.3,9.1,2.3,19.5,0,0.67,1,5.4,94.3,94.2
Jonathan Kuminga,Gol,F,19.61,9,11.3,23.5,25.3,15,16,0.75,34,0.676,10,0.2,0.591,0.627,7.1,1.9,9.2,0.7,9.4,0.22,0.22,1,7.5,109.3,104.6
Damion Lee,Gol,G-F,29.57,8,10.2,21.3,13.8,15.2,3,0.667,13,0.462,8,0.375,0.5,0.515,2.9,1.9,10.1,0.6,8,0.13,0,0.5,5.8,100.1,106.5
