FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG ,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG% ,TS% ,PPG,RPG,TRB%,APG,AST% ,SPG,BPG,TOPG,VI ,ORTG ,DRTG
Jimmy Butler,Mia,F,32.67,10,37.4,78,29.7,6.4,78,0.808,154,0.571,44,0.364,0.566,0.618,28.7,7.5,12.2,5.4,26.8,2.1,0.6,1.6,11.2,128.2,107
Bam Adebayo,Mia,C-F,24.83,11,32.1,66.8,18.8,17.6,59,0.797,96,0.594,0,0,0.594,0.66,14.6,7.7,14.6,2.7,13,1.18,0.64,2.36,8.4,120.5,99.5
Max Strus,Mia,G-F,26.13,11,29.8,62.1,18.2,8.3,14,0.643,22,0.682,94,0.351,0.556,0.565,12.5,4.5,9.1,2.2,10.9,0.91,0.36,1,6.7,113.7,102.4
P.J. Tucker,Mia,F,37.03,11,29.4,61.3,10.8,7.7,4,1,39,0.615,31,0.484,0.664,0.676,8.8,5.6,11.6,2,9.8,0.55,0.27,0.55,6.3,141.1,102
Kyle Lowry,Mia,G,36.14,5,28.9,60.1,14.6,16.9,5,0.8,13,0.462,24,0.208,0.365,0.395,6.2,3.6,7.6,5.2,24.3,1,0.6,1.6,6.8,95,104
Tyler Herro,Mia,G,22.32,11,27.6,57.4,25,12.4,23,0.913,83,0.518,55,0.273,0.475,0.513,13.8,4.2,9.2,2.9,16.9,0.73,0.36,1.91,8,100.2,106.2
Victor Oladipo,Mia,G,30.03,8,25.7,53.5,21.7,15.1,24,0.833,41,0.537,33,0.273,0.48,0.538,11.4,3.8,8.9,2.4,13.9,1.13,0.38,1.88,7.3,101.5,100.2
Gabe Vincent,Mia,G,25.92,11,23.9,49.8,16.8,15.2,11,0.909,32,0.531,47,0.277,0.462,0.495,7.5,2.4,6,3.5,20.6,0.91,0.09,1.36,6.7,103,102.3
Caleb Martin,Mia,F,26.63,11,10.6,22,19.6,11.8,4,0.25,25,0.44,18,0.167,0.36,0.357,2.9,1.5,8.4,0.3,3.7,0.82,0.18,0.55,4.1,73.7,100.5
Duncan Robinson,Mia,F,28.07,8,10.5,21.9,15.8,10.1,6,0.833,1,1,23,0.478,0.729,0.751,5,1.1,6.5,0.1,1.8,0,0,0.38,3.1,127.8,100.1
Dewayne Dedmon,Mia,C,32.76,10,9.9,20.7,20,11.3,10,0.8,27,0.556,8,0,0.429,0.482,3.8,3.3,20.2,0.4,6.1,0.1,0.2,0.5,6.9,106.7,82.4
