FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Jrue Holiday,Mil,G,31.93,12,38.6,80.4,26.4,12,31,0.839,156,0.41,79,0.316,0.432,0.461,19.1,5.6,7.4,6.5,27.6,1.75,0.58,2.83,9.2,97.7,107
Giannis Antetokounmpo,Mil,F,27.44,12,37.3,77.7,38.5,13.6,134,0.679,244,0.537,41,0.22,0.507,0.552,31.7,14.2,19.5,6.8,37,0.67,1.33,4.5,15.6,107.9,99.6
Wesley Matthews,Mil,G,35.59,12,28.7,59.8,9.3,8.1,9,0.667,19,0.368,45,0.4,0.531,0.544,6.2,3.1,5.5,1.2,5.6,0.75,0.25,0.5,4,114.2,107.3
Brook Lopez,Mil,C,34.12,12,27.7,57.6,16.1,8.9,23,0.913,74,0.595,28,0.214,0.52,0.566,10.6,5.9,11,0.7,3.7,0.5,1.5,0.92,5.1,117.3,104.4
Pat Connaughton,Mil,G,29.36,12,26.5,55.2,13.2,7.2,5,1,24,0.708,64,0.391,0.619,0.632,9.5,4.3,8.2,0.9,5.2,0.42,0.33,0.58,5,120.4,109.9
Grayson Allen,Mil,G,26.6,12,25.4,53,13.6,9.4,11,0.636,34,0.529,48,0.396,0.567,0.576,8.3,2.9,5.9,1.3,7.2,0.67,0.33,0.75,5,112,107.6
Bobby Portis,Mil,F,27.26,12,24.8,51.6,20.5,11.4,22,0.773,68,0.5,47,0.298,0.478,0.509,10.6,10,20.7,0.8,4.7,0.42,0.25,1.33,7.1,103,100.7
George Hill,Mil,G,36.03,5,15.3,31.8,3.9,14.5,2,1,3,0,2,0.5,0.3,0.425,1,1.2,4,0.6,5,0,0,0.2,2.3,103.7,103.7
Jevon Carter,Mil,G,26.67,11,11.4,23.8,8.9,23.2,2,1,12,0.5,7,0.429,0.553,0.578,2.1,1.5,6.5,0.9,10.9,0.73,0,0.55,5,107,102.5
Serge Ibaka,Mil,F,32.66,6,3.7,7.7,37,10.6,2,0.5,13,0.308,3,0,0.25,0.267,1.5,1.7,23.2,0,0,0,0,0.33,0,,
