FULL NAME,TEAM,POS,AGE,GP,MPG,MIN,USG,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Mikal Bridges,Pho,F,25.71,13,38.5,80.2,14.9,6.8,30,0.933,105,0.505,33,0.394,0.525,0.572,13.3,4.7,7.1,2.8,10.2,1.08,1,0.85,5.8,119.5,107.9
Devin Booker,Pho,G,25.54,10,36.6,76.2,28.9,13.9,53,0.887,110,0.464,65,0.431,0.531,0.587,23.3,4.8,7.7,4.4,18.7,0.5,0.4,3.2,8.6,109.8,107.9
Chris Paul,Pho,G,37.03,13,34.4,71.7,20.8,15.3,37,0.946,106,0.642,49,0.388,0.623,0.666,17.5,4.2,7.1,8.3,36.4,1.46,0.15,2.38,9.9,129.5,103.7
Deandre Ayton,Pho,C,23.81,13,30.5,63.6,22.9,9.6,33,0.636,160,0.644,4,0.5,0.646,0.653,17.9,8.9,17.1,1.7,9.3,0.38,0.77,1.46,8.5,124.1,102.7
Jae Crowder,Pho,F,31.86,13,29.5,61.4,16.2,14,26,0.731,42,0.548,63,0.302,0.49,0.524,9.4,4.7,9.3,2.4,10.8,1,0.54,1.46,6.4,102.2,99.4
Cameron Johnson,Pho,F,26.2,13,24.6,51.3,18,9.6,32,0.813,40,0.6,59,0.373,0.576,0.619,10.8,3.5,8.4,1.5,8.7,0.38,0.08,0.92,6.2,120.1,104.2
Landry Shamet,Pho,G,25.18,12,16,33.3,13.9,12.1,7,0.714,22,0.455,26,0.346,0.49,0.509,4.3,1.7,6.1,1.3,10.3,0.5,0,0.58,5.3,102.5,109.1
Cameron Payne,Pho,G,27.77,13,13.2,27.6,24,14.5,6,0.833,44,0.386,30,0.167,0.331,0.352,4.2,1.5,6.8,2.1,21.5,0.54,0.08,1,7.2,78.1,97.5
JaVale McGee,Pho,C-F,34.32,12,11.1,23.2,22.3,13.9,13,0.846,49,0.714,1,0,0.7,0.727,6.8,4,21,0.6,8.8,0.25,0.42,0.75,9.1,132.7,88
Bismack Biyombo,Pho,C,29.71,9,9.5,19.9,13.7,23.4,6,0.5,17,0.647,0,0,0.647,0.636,2.8,2.1,12.9,0.6,8,0.11,0.22,0.67,6.4,113.6,97.9
